Rank,Team,First_Line_xG_60,Second_Line_xG_60,Disparity_Ratio,Wins
1,guatemala,2.820083960744708,2.071189105817898,1.361577247013897,42
2,usa,2.7226306235362414,2.0026975667670848,1.3594816654874806,35
3,saudi_arabia,2.246428451783832,1.6566860030299047,1.3559772024845689,39
4,uae,1.9959074896028017,1.4779982657570339,1.3504126059177028,38
5,france,2.5562933189333235,1.904520106430862,1.3422243799378457,37
6,iceland,2.583940506613399,1.9627061263620662,1.3165193056195372,46
7,singapore,2.633549909751465,2.0995936557678614,1.2543140919276239,40
8,new_zealand,2.438277919711172,1.9789819272894935,1.2320870070050371,40
9,peru,2.3878706642948213,1.9866928218425013,1.2019324970833987,52
10,panama,2.5438625317680295,2.120725572990057,1.1995246175021987,46
11,rwanda,2.335038219122213,1.9585542658438164,1.1922254388576738,30
12,uk,2.7277102308181975,2.331672102177099,1.169851553428681,39
13,india,2.431452295793765,2.082766958487395,1.1674144751939035,49
14,serbia,2.8227117051131314,2.5194759197621996,1.1203566912358316,41
15,south_korea,2.7206747320120894,2.4560311483662183,1.1077525355579938,39
16,netherlands,2.1327677771677886,1.9328947805521097,1.1034060408392161,54
17,mexico,2.571435421461882,2.4190096154568286,1.0630116577590651,38
18,china,2.505723060513999,2.392980807965672,1.0471137303621636,47
19,mongolia,1.6457671002301966,1.5730117185565458,1.0462522820493758,27
20,pakistan,2.9917860124387436,2.8747577697262985,1.040708905614537,49
21,canada,2.3784563846624134,2.345688920621106,1.013969228295042,36
22,kazakhstan,1.6719558260974472,1.6724229699311222,0.9997206784156437,30
23,philippines,1.8464404710516373,1.851464490702146,0.9972864617843125,43
24,morocco,2.3179526887478645,2.3275152955476233,0.9958914956142065,37
25,oman,2.4850089163567124,2.513866165301702,0.9885207695845948,35
26,brazil,2.7084418781061723,2.7742058702369476,0.9762944802199707,58
27,indonesia,1.8088807625642849,1.8807691498740906,0.9617771339376667,41
28,thailand,2.81769737358182,2.932847634946882,0.9607377280725504,50
29,germany,2.1785359859779767,2.272010599901499,0.9588581963800807,36
30,vietnam,2.0126995161719416,2.144063242101059,0.9387314126982615,39
31,ethiopia,2.225207531770589,2.464135798677233,0.9030377031026852,43
32,switzerland,1.7115050760824575,1.925619243745086,0.8888076298789975,36
