Check,Value,Status,Details
raw_dataset_rows,25827.0,INFO,Season raw table row count
raw_dataset_columns,26.0,INFO,Season raw table column count
raw_missing_values,0.0,PASS,Total missing cells in raw table
raw_duplicate_rows,0.0,PASS,Exact duplicate rows in raw table
raw_repeated_game_rows,24515.0,INFO,rows=25827; unique_game_id=1312
raw_random_row_split_game_id_overlap,1306.0,FAIL,test_overlap_ratio=1.0000
raw_top_corr_home_goals_1,0.944369,WARN,Feature=home_assists
raw_top_corr_home_goals_2,0.629236,INFO,Feature=home_xg
raw_top_corr_home_goals_3,0.610613,INFO,Feature=home_shots
raw_top_corr_home_goals_4,0.515642,INFO,Feature=away_penalties_committed
raw_top_corr_home_goals_5,0.513208,INFO,Feature=away_penalty_minutes
raw_top_corr_home_goals_6,0.431528,INFO,Feature=home_max_xg
raw_high_corr_ge_0p90_home_goals,1.0,WARN,home_assists
raw_top_corr_away_goals_1,0.941906,WARN,Feature=away_assists
raw_top_corr_away_goals_2,0.591355,INFO,Feature=away_xg
raw_top_corr_away_goals_3,0.567976,INFO,Feature=away_shots
raw_top_corr_away_goals_4,0.472256,INFO,Feature=home_penalties_committed
raw_top_corr_away_goals_5,0.472024,INFO,Feature=home_penalty_minutes
raw_top_corr_away_goals_6,0.410958,INFO,Feature=away_max_xg
raw_high_corr_ge_0p90_away_goals,1.0,WARN,away_assists
raw_hard_leakage_columns_present,4.0,WARN,"away_assists,away_goals,home_assists,home_goals"
train_test_game_id_overlap,0.0,PASS,Expected 0 overlap between train and holdout game ids
time_split_logreg_holdout,0.687483,INFO,AUC=0.5603
permuted_label_sanity,0.747586,PASS,AUC=0.4591 (should be near random)
random_split_vs_time_split_ll_gap,0.00918,INFO,Positive means random split is easier than temporal split
max_feature_target_corr_abs,0.138303,PASS,Feature=pdo_d
selected_blend_overfit_gap,-0.012528,OK,holdout_ll - oof_ll for selected blend
