Rank,Team,Wins,EV_xG%,xG_per_60,GSAx_per_60,Elo_Rating,Power_Score
1,brazil,58,0.5941420591699073,2.9589038004817594,0.39854717388445,1574.3262294541487,0.9363412641481156
2,pakistan,49,0.5864183773757284,3.22769006343684,0.2854807814787432,1541.5559684317495,0.8549525333852784
3,thailand,50,0.5944344790740581,3.226595819914701,-0.3279246027057818,1552.7503441673373,0.8053301859087852
4,peru,52,0.5253425005568417,2.647730027058524,0.4412334960963344,1542.8562518596202,0.7406075939581208
5,china,47,0.5416709413777578,2.888137769238703,0.344767071760784,1536.6868317254105,0.7354211033122653
6,netherlands,54,0.5167214582499593,2.3934358285026187,0.3408569156383636,1555.9176750334266,0.6955927080273637
7,india,49,0.4973518777773197,2.589875153197608,0.5328981514145682,1523.2537862422562,0.6464114804187228
8,panama,46,0.4957177020091223,2.8118448444067146,0.3773139427655545,1510.7701103008385,0.624511576711265
9,iceland,46,0.4984561475388543,2.604902713242969,0.5006093696825612,1515.4607296392303,0.6183095081626883
10,uk,39,0.5080888698878359,2.9618012647087038,0.3615040912802406,1508.761773364355,0.6113533987171806
11,guatemala,42,0.53885766021994,2.8209298669138008,-0.0275050526836321,1509.626947516784,0.6062745226987946
12,serbia,41,0.5120846976101393,3.017481479894575,0.0183411394137035,1511.0888342179712,0.5876953668833822
13,mexico,38,0.5660163883841328,2.892126283854702,-0.351599607918321,1502.1455687594664,0.5836157292836573
14,new_zealand,40,0.505450097104021,2.7218124916564133,0.1464338384382525,1505.4643363059647,0.5583414188940343
15,ethiopia,43,0.4865890742855869,2.714288826415837,0.2163676321199029,1500.4653225954494,0.5367864561466255
16,south_korea,39,0.5497646375710744,2.8189414065234226,-0.5540994496241193,1497.7796684648506,0.5224098045960619
17,singapore,40,0.4711278378894096,2.7455662066097126,0.3930659617350304,1482.1998990013078,0.5021030086833338
18,oman,35,0.5169141178341058,2.8903789724938003,-0.0400911446445581,1472.8721573034743,0.5013723698103858
19,philippines,43,0.4412194328045219,2.279447149185683,0.5835735947339604,1498.6870626364991,0.4699130730740583
20,canada,36,0.5118207489397256,2.6666621776557773,-0.358801641124006,1485.9935794547955,0.4356690714215983
21,morocco,37,0.5082010259388992,2.599145561585652,-0.2704802061269225,1489.2581569168244,0.4335308324417803
22,saudi_arabia,39,0.4700333572735889,2.2642232150636903,0.3328056529408307,1487.2107032137897,0.4297111639731465
23,vietnam,39,0.4640880803154567,2.493817791523131,0.17766832913315,1479.225885591824,0.4224369964528019
24,rwanda,30,0.5014193926797295,2.7297011921433927,-0.1044129815450613,1449.8535905700464,0.4098078634241984
25,usa,35,0.4782690157757442,2.7531029562431693,-0.0575469722734648,1464.654817888582,0.4087936245808752
26,france,37,0.4817095561273914,2.622433288832237,-0.3497713420415965,1492.4034455850635,0.4051518024912091
27,germany,36,0.4697102430416964,2.6433179810088383,-0.2463795235629352,1477.8340248334184,0.3775363242682216
28,indonesia,41,0.4280989031686323,2.202041137495681,0.3377024559169401,1493.104546350165,0.3767252074264419
29,switzerland,36,0.4688414576045083,2.1112552705823835,0.09284505014171,1472.9212936239794,0.344011356001128
30,uae,38,0.4376171576951178,2.141737270679381,-0.0915203158335993,1479.1831553575514,0.2943836095696607
31,kazakhstan,30,0.419862203885844,2.272602191094108,-0.1515189745785896,1453.6256919088223,0.2117851744011761
32,mongolia,27,0.3832358634574344,1.9512937295667483,0.2969065375683876,1432.0616116850026,0.1122035005680403
