Rank,Team,Disparity_Ratio,Wins,xGF60,xGA60,Power_Rank,Elo_Rank
1,guatemala,1.361577247013897,42,2.8209298669138008,2.5656684980963878,11,11
2,usa,1.3594816654874806,35,2.7531029562431693,2.8986016361216187,25,29
3,saudi_arabia,1.3559772024845689,39,2.2642232150636903,2.60800970575668,22,21
4,uae,1.3504126059177028,38,2.141737270679381,2.681558978978536,30,25
5,france,1.3422243799378455,37,2.622433288832237,2.6858791275905296,26,19
6,iceland,1.3165193056195372,46,2.604902713242969,2.651507942178275,9,8
7,singapore,1.254314091927624,40,2.7455662066097126,3.0450355997542498,17,23
8,new_zealand,1.2320870070050371,40,2.7218124916564133,2.51668953143167,14,13
9,peru,1.2019324970833989,52,2.647730027058524,2.2559572051042416,4,4
10,panama,1.1995246175021987,46,2.8118448444067146,2.7404090535047256,8,10
